Year,Recipient_Code,Source_Code, Disbursement ,,,,,,CFLI
2017,SV ,1021," 47,171.39 ",,,,,,
2017,SY ,1021," 47,103.76 ",,,,,,
2017,SZ ,1021," 79,587.16 ",,,,,,
2017,TD ,1021," 373,902.59 ",,,,,,
2017,TG ,1021," 489,781.53 ",,,,,,
2017,TH ,1021," 85,272.64 ",,,,,,
2017,TJ ,1021," 305,389.05 ",,,,,,
2017,TK ,1021," 7,551.59 ",,,,,,
2017,TL ,1021," 119,396.13 ",,,,,,
2017,TM ,1021," 54,101.39 ",,,,,,
2017,TN ,1021," 47,956.78 ",,,,,,
2017,TR ,1021," 46,561.77 ",,,,,,
2017,TZ ,1021," 756,964.96 ",,,,,,
2017,UA ,1021," 61,322.00 ",,,,,,
2017,UG ,1021," 746,289.48 ",,,,,,
2017,UY ,1021," 19,368.93 ",,,,,,
2017,UZ ,1021," 221,634.77 ",,,,,,
2017,VC ,1021," 7,493.21 ",,,,,,
2017,VE ,1021," 28,629.34 ",,,,,,
2017,VN ,1021," 484,122.47 ",,,,,,
2017,WS ,1021," 73,039.71 ",,,,,,
2017,YE ,1021," 308,388.32 ",,,,,,
2017,ZA ,1021," 82,775.88 ",,,,,,
2017,ZM ,1021," 397,126.09 ",,,,,,
2017,ZW ,1021," 688,588.78 ",,,,,,
2017,AF ,1024," 497,549.34 ",,,,,,
2017,AL ,1024," 11,517.13 ",,,,,,
2017,AM ,1024," 10,999.15 ",,,,,,
2017,AO ,1024," 103,645.60 ",,,,,,
2017,AR ,1024," 9,553.13 ",,,,,,
2017,AZ ,1024," 7,900.13 ",,,,,,
2017,BA ,1024," 9,502.40 ",,,,,,
2017,BD ,1024," 248,957.57 ",,,,,,
2017,BF ,1024," 159,783.95 ",,,,,,
2017,BI ,1024," 124,565.97 ",,,,,,
2017,BJ ,1024," 76,009.72 ",,,,,,
2017,BO ,1024," 24,091.73 ",,,,,,
2017,BR ,1024," 29,574.53 ",,,,,,
2017,BT ,1024," 11,344.06 ",,,,,,
2017,BW ,1024," 10,348.79 ",,,,,,
2017,BY ,1024," 9,758.22 ",,,,,,
2017,BZ ,1024," 13,190.90 ",,,,,,
2017,CD ,1024," 763,877.48 ",,,,,,
2017,CF ,1024," 78,905.65 ",,,,,,
2017,CG ,1024," 24,104.17 ",,,,,,
2017,CI ,1024," 134,009.40 ",,,,,,
2017,CL ,1024," 10,689.50 ",,,,,,
2017,CM ,1024," 129,495.24 ",,,,,,
2017,CN ,1024," 79,221.85 ",,,,,,
2017,CO ,1024," 12,229.19 ",,,,,,
2017,CR ,1024," 7,721.72 ",,,,,,
2017,CU ,1024," 12,399.39 ",,,,,,
2017,CV ,1024," 13,599.17 ",,,,,,
2017,DJ ,1024," 12,177.03 ",,,,,,
2017,DO ,1024," 15,062.37 ",,,,,,
2017,DZ ,1024," 12,196.32 ",,,,,,
2017,EC ,1024," 23,408.39 ",,,,,,
2017,EG ,1024," 32,666.63 ",,,,,,
2017,ER ,1024," 31,683.80 ",,,,,,
2017,ET ,1024," 437,585.02 ",,,,,,
2017,FJ ,1024, 31.87 ,,,,,,
2017,GA ,1024," 10,045.13 ",,,,,,
2017,GE ,1024," 11,308.86 ",,,,,,
2017,GH ,1024," 95,276.48 ",,,,,,
2017,GM ,1024," 19,034.47 ",,,,,,
2017,GN ,1024," 116,395.57 ",,,,,,
2017,GQ ,1024," 13,447.45 ",,,,,,
2017,GT ,1024," 14,362.52 ",,,,,,
2017,GW ,1024," 37,271.41 ",,,,,,
2017,GY ,1024," 25,306.81 ",,,,,,
2017,HN ,1024," 15,231.79 ",,,,,,
2017,HT ,1024," 55,929.77 ",,,,,,
2017,ID ,1024," 55,170.29 ",,,,,,
2017,IN ,1024," 661,044.16 ",,,,,,
